Name:Tue-May-08-16_53_16-CEST-2018.zip,Epsilon:0.6,Score:-36.700441999997636
Name:Tue-May-08-17_16_09-CEST-2018.zip,Epsilon:0.6,Score:-31.156801999997505
Name:Tue-May-08-17_39_29-CEST-2018.zip,Epsilon:0.6,Score:-23.787287999999798
Name:Tue-May-08-18_02_40-CEST-2018.zip,Epsilon:0.6,Score:-23.23841999999868
Name:Tue-May-08-18_25_57-CEST-2018.zip,Epsilon:0.6,Score:-6.4734360000008095
Name:Tue-May-08-18_49_03-CEST-2018.zip,Epsilon:0.6,Score:-44.88184399999744
Name:Tue-May-08-19_12_32-CEST-2018.zip,Epsilon:0.6,Score:-47.104161999997146
Name:Tue-May-08-19_35_41-CEST-2018.zip,Epsilon:0.6,Score:-56.27645399999729
Name:Tue-May-08-19_58_47-CEST-2018.zip,Epsilon:0.6,Score:-61.486691999997106
Name:Tue-May-08-20_21_57-CEST-2018.zip,Epsilon:0.6,Score:-45.30294799999687
Name:Tue-May-08-20_45_18-CEST-2018.zip,Epsilon:0.6,Score:-27.28841199999786
Name:Tue-May-08-21_08_30-CEST-2018.zip,Epsilon:0.6,Score:-53.751693999996476
Name:Tue-May-08-21_31_16-CEST-2018.zip,Epsilon:0.6,Score:-49.77713999999706
Name:Tue-May-08-21_54_06-CEST-2018.zip,Epsilon:0.6,Score:-19.837569999997655
Name:Tue-May-08-22_17_17-CEST-2018.zip,Epsilon:0.6,Score:-44.442513999996834
Name:Tue-May-08-22_40_15-CEST-2018.zip,Epsilon:0.6,Score:-53.00950199999671
Name:Tue-May-08-23_03_04-CEST-2018.zip,Epsilon:0.6,Score:-37.82381199999801
Name:Tue-May-08-23_25_48-CEST-2018.zip,Epsilon:0.6,Score:-36.729637999997585
Name:Tue-May-08-23_49_10-CEST-2018.zip,Epsilon:0.6,Score:-27.100713999998813
Name:Wed-May-09-00_13_14-CEST-2018.zip,Epsilon:0.4,Score:-63.11708199999713
Name:Wed-May-09-00_35_36-CEST-2018.zip,Epsilon:0.4,Score:-45.96994599999732
Name:Wed-May-09-00_58_34-CEST-2018.zip,Epsilon:0.4,Score:-48.737215999996934
Name:Wed-May-09-01_22_33-CEST-2018.zip,Epsilon:0.4,Score:-72.60472799999688
Name:Wed-May-09-01_45_48-CEST-2018.zip,Epsilon:0.4,Score:-36.25496199999763
Name:Wed-May-09-02_09_13-CEST-2018.zip,Epsilon:0.4,Score:-42.35146799999663
Name:Wed-May-09-02_32_44-CEST-2018.zip,Epsilon:0.4,Score:-31.875417999998213
Name:Wed-May-09-02_56_18-CEST-2018.zip,Epsilon:0.4,Score:-48.8451939999963
Name:Wed-May-09-03_19_41-CEST-2018.zip,Epsilon:0.4,Score:-13.348816000000983
Name:Wed-May-09-03_43_01-CEST-2018.zip,Epsilon:0.4,Score:-59.75559599999649
Name:Wed-May-09-04_05_26-CEST-2018.zip,Epsilon:0.4,Score:-42.178551999996756
Name:Wed-May-09-04_29_15-CEST-2018.zip,Epsilon:0.4,Score:-38.0158859999971
Name:Wed-May-09-04_51_43-CEST-2018.zip,Epsilon:0.4,Score:-1.3566819999999404
Name:Wed-May-09-05_16_14-CEST-2018.zip,Epsilon:0.4,Score:-38.65582199999717
Name:Wed-May-09-05_40_48-CEST-2018.zip,Epsilon:0.4,Score:-50.91894999999677
Name:Wed-May-09-06_04_12-CEST-2018.zip,Epsilon:0.4,Score:-63.59067799999644
Name:Wed-May-09-06_26_16-CEST-2018.zip,Epsilon:0.4,Score:-54.94072799999538
Name:Wed-May-09-06_48_27-CEST-2018.zip,Epsilon:0.4,Score:-71.4087939999963
Name:Wed-May-09-07_10_36-CEST-2018.zip,Epsilon:0.4,Score:-44.48262199999679
Name:Wed-May-09-07_33_33-CEST-2018.zip,Epsilon:0.4,Score:-64.85621799999673
Name:Wed-May-09-07_56_56-CEST-2018.zip,Epsilon:0.4,Score:-62.843963999996646
Name:Wed-May-09-08_19_06-CEST-2018.zip,Epsilon:0.4,Score:-57.38546999999679
Name:Wed-May-09-08_41_56-CEST-2018.zip,Epsilon:0.4,Score:-57.654049999997234
Name:Wed-May-09-09_04_05-CEST-2018.zip,Epsilon:0.4,Score:-60.47982199999681
Name:Wed-May-09-09_27_10-CEST-2018.zip,Epsilon:0.4,Score:-65.07746599999655
Name:Wed-May-09-09_49_17-CEST-2018.zip,Epsilon:0.4,Score:-71.99367399999629
